Crosswalk2013_CBSA Code,Crosswalk2013_CBSA Title,Crosswalk2013_State Name,AVLN_EALPE,CFLD_EALPE,CWAV_EALPE,ERQK_EALPE,HAIL_EALPE,HWAV_EALPE,HRCN_EALPE,ISTM_EALPE,LNDS_EALPE,LTNG_EALPE,RFLD_EALPE,SWND_EALPE,TRND_EALPE,TSUN_EALPE,VLCN_EALPE,WFIR_EALPE,WNTW_EALPE,AVLN_EALB,CFLD_EALB,CWAV_EALB,ERQK_EALB,HAIL_EALB,HWAV_EALB,HRCN_EALB,ISTM_EALB,LNDS_EALB,LTNG_EALB,RFLD_EALB,SWND_EALB,TRND_EALB,TSUN_EALB,VLCN_EALB,WFIR_EALB,WNTW_EALB,AVLN_EXPPE,CFLD_EXPPE,CWAV_EXPPE,ERQK_EXPPE,HAIL_EXPPE,HWAV_EXPPE,HRCN_EXPPE,ISTM_EXPPE,LNDS_EXPPE,LTNG_EXPPE,RFLD_EXPPE,SWND_EXPPE,TRND_EXPPE,TSUN_EXPPE,VLCN_EXPPE,WFIR_EXPPE,WNTW_EXPPE,BUILDVALUE,POPULATION,Migration16to20_A_Inflow_Estimate,Migration16to20_A_Outflow_Estimate,Migration16to20_A_NetMigration_Estimate,Migration16to20_A_GrossMigration_Estimate,Migration16to20_A_Inflow_MOE,Migration16to20_A_Outflow_MOE,Migration16to20_A_NetMigration_MOE,Migration16to20_A_GrossMigration_MOE,HousingPI22_Metro Name,HousingPI22_GEOID.1,HousingPI22_1980,HousingPI22_1981,HousingPI22_1982,HousingPI22_1983,HousingPI22_1984,HousingPI22_1985,HousingPI22_1986,HousingPI22_1987,HousingPI22_1988,HousingPI22_1989,HousingPI22_1990,HousingPI22_1991,HousingPI22_1992,HousingPI22_1993,HousingPI22_1994,HousingPI22_1995,HousingPI22_1996,HousingPI22_1997,HousingPI22_1998,HousingPI22_1999,HousingPI22_2000,HousingPI22_2001,HousingPI22_2002,HousingPI22_2003,HousingPI22_2004,HousingPI22_2005,HousingPI22_2006,HousingPI22_2007,HousingPI22_2008,HousingPI22_2009,HousingPI22_2010,HousingPI22_2011,HousingPI22_2012,HousingPI22_2013,HousingPI22_2014,HousingPI22_2015,HousingPI22_2016,HousingPI22_2017,HousingPI22_2018,HousingPI22_2019,HousingPI22_2020,HousingPI22_2021,HousingPI22_2022
10180,"Abilene, TX",Texas,0.0,0.0,485441.0292653315,19906.666438610115,483001.07148193166,1375110.4192920849,2751.9638607027805,118521.39309120992,40474.25590438762,246081.19388163387,799068.3110358447,333215.29484590166,2730724.5486511206,0.0,0.0,60137.65934502537,957269.6715042226,0.0,0.0,5501.592998838151,67120.4,8539877.171907127,702.602737372421,188083.44162667703,63924.929033257074,10175.72038740282,30008.06811461826,3730847.3876244416,1285781.7365737092,1894376.574575805,0.0,0.0,5298566.0549649,29422.018863275563,0.0,0.0,2046680800000.0,2048316400000.0,2046680800000.0,2046680800000.0,2046680800000.0,2046411449150.2207,24676263430.46356,2046680800000.0,315200650271.37946,2046680800000.0,2046680800000.0,0.0,0.0,309913109617.88586,2046680800000.0,31702035918.0,176438.0,14074.0,12714.0,1360.0,26788.0,1184.8316336087587,1675.5778107864762,2061.050217728816,2043.9329734607247,"Abilene, TX",10180.0,3.2,3.0,3.1,3.0,2.8,2.7,2.7,2.4,2.2,2.1,2.0,2.1,2.2,2.2,2.2,2.1,2.1,2.1,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.5,2.5,2.5,2.6,2.7,2.9,2.9,2.9,3.0,3.3,3.2,3.3,3.3,3.4,3.6,4.0,4.5
10380,"Aguadilla-Isabela, PR",Puerto Rico,0.0,1170.8389644259412,0.0,30990215.18483733,4513.418860256025,0.0,6109795.0654815845,0.0,189921.1513372004,0.0,1553225.8080238996,152.60262957827211,66149.96213965234,332.3270943656878,0.0,0.0,0.0,0.0,629908.0136038355,0.0,38323498.9,441.7986007939302,0.0,169424348.0186653,0.0,49701.066999625415,0.0,34674377.00665168,22.68263327340688,57350.39759215445,1008.5500967142036,0.0,0.0,0.0,0.0,32814341322.96312,0.0,3597856000000.0,3594213600000.0,0.0,3593977483939.675,0.0,1301055203237.1418,0.0,149460385255.24042,3594213600000.0,3594213600000.0,152301015115.0389,0.0,0.0,0.0,40101799265.0,309846.0,3447.0,11070.0,-7623.0,14517.0,639.0492938733287,1348.8502511398365,1486.4602248294436,1498.2746744172111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10420,"Akron, OH",Ohio,0.0,0.0,283878.5963317102,167456.81867958343,118503.30189041344,425043.9732941637,9718.142791971344,3145.4358546115127,36571.09220818107,564129.6671023475,1064910.7512469967,388028.22721967055,3602454.637070776,0.0,0.0,12664.623334349804,282251.8890092788,0.0,0.0,36837.232424725546,713877.9,8411590.475358248,5637.09523284057,701444.7723383036,246113.6528486093,265169.68179657194,40461.01768295799,6909351.282120796,1231987.885801872,6071355.3062747065,0.0,0.0,145152.91754269664,1330482.15002282,0.0,0.0,8144510800000.0,8145740400000.0,8144510800000.0,8144510800000.0,8137756592143.344,8141961196689.369,2079609333870.9824,8144510800000.0,70557530597.04718,8144510800000.0,8144510800000.0,0.0,0.0,2094121034043.996,8144510800000.0,141164737358.0,702113.0,29065.0,29891.0,-826.0,58956.0,1763.1520070600832,1855.3956451387933,2517.3261608301773,2601.7822737500537,"Akron, OH",10420.0,2.2,2.2,2.1,2.1,2.0,1.9,1.9,2.0,2.0,2.2,2.2,2.3,2.5,2.5,2.4,2.5,2.6,2.6,2.6,2.4,2.5,2.6,2.7,2.7,2.6,2.7,2.5,2.5,2.1,1.8,2.3,1.9,2.2,2.3,2.3,2.2,2.3,2.4,2.5,2.6,2.7,2.8,3.1
10500,"Albany, GA",Georgia,0.0,0.0,0.0,162021.15131296602,90215.62873343244,412367.61479119805,228983.9965548637,10543.279897408964,77296.05319998437,1202499.5527337694,1297425.9467232334,273118.26109980454,4345889.700702095,0.0,0.0,5799.929984082727,54906.04463736441,0.0,0.0,0.0,605630.1,66735.68844583764,2912.032731104354,9843995.733491344,4700.754412596289,18188.26135550408,43342.58324163476,1944160.5860110072,743641.5886398663,2913510.39398775,0.0,0.0,45882.97313206853,15347.337407960043,0.0,0.0,0.0,1760856800000.0,1754384000000.0,1754384000000.0,1754384000000.0,1749680538288.775,137246107380.8774,1754384000000.0,143478637090.85934,1754384000000.0,1754384000000.0,0.0,0.0,512718608583.9428,1754384000000.0,28823008695.0,151240.0,7484.0,8209.0,-725.0,15693.0,921.422812828074,1112.3007686772494,1464.9276432643355,1423.9353917927597,"Albany, GA",10500.0,3.2,3.3,3.2,3.1,3.0,3.0,2.9,2.9,2.8,2.7,2.6,2.6,2.6,2.6,2.5,2.4,2.5,2.5,2.5,2.5,2.6,2.7,2.8,2.9,2.8,2.9,3.0,3.2,3.2,3.2,3.2,3.0,2.9,2.9,2.9,3.0,3.0,3.1,3.1,3.1,3.2,3.4,4.1
10540,"Albany, OR",Oregon,36919.52184,0.0,1485.855904878919,13423931.732751086,28589.341967519023,20239.22778472325,0.0,400460.0373843284,295959.9129793178,22683.62789581571,294093.0616967577,15775.762078966083,50715.94768045384,0.0,4939.896438944337,399.0329732943273,139953.91135038694,47.483807,0.0,2.497487026403309,26225283.6,644.4270561055729,26732.02548939612,0.0,30009.406376409475,1684040.0788119207,6694.686282266019,1126202.680078593,16967.57731714406,80726.80456452137,0.0,1.94119010451964,33067.877212519365,327.18672428732634,58000000.0,0.0,1693600000.0,1491876000000.0,1491481600000.0,1491481600000.0,0.0,1491475741013.1553,325467356670.7579,1491481600000.0,60670305244.18096,1491481600000.0,1491481600000.0,0.0,48030448470.085815,100230800589.92856,1491481600000.0,25310768522.0,128576.0,7909.0,8064.0,-155.0,15973.0,982.0651709535372,1050.0371422002177,1462.427092199813,1412.9621367892346,"Albany, OR",10540.0,2.8,2.6,2.6,2.5,2.3,2.2,2.1,1.9,1.9,1.9,2.0,2.2,2.3,2.6,2.8,3.0,3.0,3.1,3.2,3.2,3.3,3.5,3.5,3.5,3.6,3.9,4.3,4.5,4.3,4.2,4.0,4.0,3.8,3.9,4.0,4.1,4.2,4.4,4.6,4.6,4.7,5.4,6.2
10580,"Albany-Schenectady-Troy, NY",New York,0.0,26746.64921837664,1224679.154959455,426262.2846544438,515003.0721640322,423730.1123957564,248295.7800738408,415670.934498311,147879.95106989233,2188791.85428566,2845147.647933456,1077499.7915060252,11601467.53266647,0.0,0.0,873.0735251460464,64418.85885932348,0.0,131766.48404502537,6909.189769924895,2113853.2,58793.92668359011,1.216596799420907,10745431.351637349,2543519.479044323,522405.86528663134,117807.91199737006,7688334.888179726,692013.2939152913,4121254.62465936,0.0,0.0,168374.8382023214,103514.41612718624,0.0,14015979742.68616,10426764400000.0,10431439200000.0,10426764400000.0,10426764400000.0,10425632648930.406,10426058409287.088,3739528172764.981,10426764400000.0,217198387787.68015,10426764400000.0,10426764400000.0,0.0,0.0,2302181662427.808,10426764400000.0,169771794546.0,898859.0,37519.0,35770.0,1749.0,73289.0,2076.450577307344,2028.3409476712736,2902.1450687379497,2902.1206039722056,"Albany-Schenectady-Troy, NY",10580.0,2.3,2.3,2.3,2.3,2.4,2.5,2.8,3.1,3.2,3.2,3.1,3.1,3.1,3.1,3.1,2.9,2.8,2.7,2.6,2.4,2.4,2.6,2.7,3.0,3.3,3.6,3.7,3.6,3.5,3.3,3.4,3.3,3.4,3.3,3.3,3.2,3.1,3.0,2.9,3.0,3.1,3.3,3.4
10740,"Albuquerque, NM",New Mexico,0.0,0.0,112315.9400168464,9955888.731908737,133893.13120859102,0.0,0.0,20347.170249653784,82295.83574289775,1825047.912825184,10992794.851365164,258283.25048665144,842327.1775333731,0.0,0.0,4069.0033744899274,83697.74852836532,0.0,0.0,67.99621170359445,25121903.7,1189266.588291738,0.0,0.0,21002.44393903923,125352.47238057236,22934.205230205927,2343843.5812029946,79559.71561195985,929170.2510871596,0.0,0.0,3745743.6418123264,22878.846143869792,0.0,0.0,613518999001.8896,10631724800000.0,10615856000000.0,0.0,0.0,10615856000000.0,625397958844.7123,10615856000000.0,598693739196.2576,10615856000000.0,10615856000000.0,0.0,0.0,800635572225.6946,10615855994705.76,153791290418.0,915160.0,32109.0,36067.0,-3958.0,68176.0,2198.8647070704465,2203.052654840551,3126.0190338512016,3099.0701831355805,"Albuquerque, NM",10740.0,3.5,3.5,3.4,3.4,3.4,3.3,3.3,3.3,3.2,3.1,3.0,3.0,3.1,3.2,3.3,3.4,3.4,3.5,3.4,3.3,3.3,3.4,3.3,3.3,3.4,3.8,4.1,4.3,4.1,3.8,3.9,3.6,3.6,3.7,3.7,3.7,3.8,3.9,3.8,4.0,4.2,4.9,5.4
10780,"Alexandria, LA",Louisiana,0.0,0.0,414121.43360091,125114.4310594955,69396.24069431034,1206245.2451435009,219782.09287421187,169689.1140544641,34799.99999999859,741165.5632189566,359263.36074188445,671818.9725926646,1144363.8294419409,0.0,0.0,16963.018328610528,35640.71421048098,0.0,0.0,10165.359846632198,408775.6,37818.15716022621,504.1456698802814,10702697.10294168,109210.11244670136,8999.999999999993,25268.746016091914,1770423.768287759,213290.69685944295,1810249.0724643315,0.0,0.0,297459.9999668423,4085.374045106937,0.0,0.0,1504102400000.0,1765427200000.0,1760717600000.0,1760717600000.0,1760318053218.0295,1760715117120.223,109515842174.33672,1760717600000.0,217958418992.1985,1760717600000.0,1760717600000.0,0.0,0.0,105103233948.13742,1760717600000.0,26395818315.0,151786.0,6706.0,6345.0,361.0,13051.0,1019.0515197967176,969.817508606645,1428.4754110589374,1385.6904416210714,"Alexandria, LA",10780.0,3.2,3.3,3.4,3.4,3.4,3.3,3.3,3.2,2.9,2.8,2.8,2.7,2.7,2.7,2.7,2.7,2.7,2.6,2.7,2.7,2.7,2.8,2.9,3.0,3.0,3.1,3.2,3.2,3.1,3.1,3.2,3.0,3.1,3.0,3.1,3.3,3.4,3.3,3.1,3.1,3.1,3.5,3.8
10900,"Allentown-Bethlehem-Easton, PA-NJ",Pennsylvania,0.0,0.0,303436.641905305,295651.9113550597,311852.78378649394,4829059.186065818,433972.69349813287,673726.0209326007,83207.26254983233,1897326.9004808683,591918.0598536134,2922317.662408332,5256772.609407155,0.0,0.0,804.6591750100022,2027173.740261684,0.0,0.0,732.5169141849836,1289252.4,166881.6224323105,4.288530185471549,17346020.165486094,127788.60108595896,538874.6403671053,254229.0456007531,13113703.693574268,4595381.2086892165,5078180.749742897,0.0,0.0,69638.03103296041,532491.3554551179,0.0,0.0,750844800000.0,9997912400000.0,9987843600000.0,9987843600000.0,9985043550403.826,9984504412286.498,4159429038454.625,9987843600000.0,171227431279.5923,9987843600000.0,9987843600000.0,0.0,0.0,809524837043.5116,9987843600000.0,171705015379.0,861021.0,36790.0,32125.0,4665.0,68915.0,2271.492240796785,1931.1871996261784,2915.9794237957167,3046.539019937214,"Allentown-Bethlehem-Easton, PA-NJ",10900.0,2.5,2.5,2.4,2.3,2.3,2.4,2.5,2.8,3.2,3.1,3.1,3.0,3.0,2.9,2.8,2.7,2.6,2.6,2.5,2.4,2.5,2.6,3.4,3.8,4.1,4.7,4.7,4.7,4.3,3.9,4.1,3.4,3.4,3.1,3.0,2.9,3.0,2.9,3.0,3.0,3.3,3.7,4.1
11020,"Altoona, PA",Pennsylvania,0.0,0.0,110170.10335737944,14603.888436534373,27308.123875308007,29289.127335388024,36868.42002195656,4042.6910408143913,17399.999999999898,424999.43856769614,822255.7092642968,623726.4172828355,515478.96738268615,0.0,0.0,890.873248347595,84950.00191126621,0.0,0.0,546.3682339462798,54243.3,13437.359078793515,0.029715140099711,2049503.83766894,17600.832806203845,105000.00000000004,5866.610209659552,32457.476665768936,64915.31129447751,819904.8083892467,0.0,0.0,11969.96259797604,47261.49310117272,0.0,0.0,1422918552434.964,1424735200000.0,1422925600000.0,1422918552434.9636,1413589542066.26,1421311565726.1843,653461641132.7944,1422925600000.0,78240606935.29724,1422925600000.0,1422925600000.0,0.0,0.0,144374240471.6414,1422918552434.964,27514419287.0,122666.0,4919.0,4946.0,-27.0,9865.0,688.859927706642,633.0244860982867,923.6476600955584,946.3968512204592,"Altoona, PA",11020.0,1.8,1.8,1.7,1.7,1.6,1.6,1.6,1.7,1.8,1.7,1.7,1.8,1.8,1.9,1.9,2.0,2.0,2.0,2.1,2.1,2.1,2.2,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.5,2.3,2.3,2.3,2.4,2.4,2.4,2.4,2.5,2.4,2.5,2.5,2.5,2.7
11100,"Amarillo, TX",Texas,0.0,0.0,1855952.2317908187,122633.60221351404,551586.207981126,66167.57391618517,0.0,132395.4890473223,48243.727874368655,1268905.2068959167,2680480.2284046225,4322168.719111484,21177154.9778282,0.0,0.0,867259.0487833429,3938399.327036488,0.0,0.0,19416.42863434124,482568.6,19306476.465908587,42.06061029549436,0.0,23542.10206564054,14910.649521372688,71123.88817407753,733373.7238796754,4620226.302171321,9936425.727191646,0.0,0.0,9085237.09382733,761450.0930431943,0.0,0.0,3115896674300.796,3116815600000.0,3115899200000.0,1653834376520.524,0.0,3115760017738.7915,50657491889.15279,3115899200000.0,41781363175.318695,3115899200000.0,3115899200000.0,0.0,0.0,298892586018.7954,3115896674300.796,44339643350.0,268612.0,11968.0,15075.0,-3107.0,27043.0,1097.6260747631682,1413.3831752217798,1833.7458929742693,1744.2479754897238,"Amarillo, TX",11100.0,2.5,2.6,2.6,2.6,2.6,2.6,2.5,2.5,2.3,2.1,2.1,2.1,2.0,2.1,2.1,2.2,2.3,2.3,2.3,2.3,2.3,2.4,2.5,2.5,2.6,2.7,2.8,2.7,2.8,2.7,2.7,2.7,2.8,2.8,2.8,2.8,2.9,2.9,3.0,2.9,3.1,3.5,3.7
11180,"Ames, IA",Iowa,0.0,0.0,61386.855695939885,15059.720918458232,425190.3852384832,9895.43058132432,27.545885479999825,9693.823815863616,17399.99999999985,193304.6123198977,1185253.0111171568,482683.1127947063,3327241.383251477,0.0,0.0,1547.776634374814,820128.1817559934,0.0,0.0,387.2683052547292,57177.0,637564.4225672742,10499.548463272047,7845.174136504749,26821.63051164787,4500.000000000002,69514.93662842721,972447.4676265024,735366.2543526742,5687115.444377575,0.0,0.0,20286.667965402048,120394.1737594686,0.0,0.0,1142982800000.0,1143029200000.0,1142982800000.0,1142982800000.0,1142982800000.0,1142982800000.0,162164843433.438,1142982800000.0,22048908496.08384,1142982800000.0,1142982800000.0,0.0,0.0,241687953864.1724,1142982800000.0,19817401380.0,98533.0,13302.0,11710.0,1592.0,25012.0,985.1847542466336,1071.465818400195,1499.2374728507823,1409.6063280221183,"Ames, IA",11180.0,3.5,3.2,3.1,3.0,2.9,2.8,2.7,2.6,2.5,2.4,2.4,2.5,2.6,2.6,2.7,2.8,2.8,2.8,2.8,2.8,2.9,3.0,3.1,3.1,3.3,3.3,3.2,3.1,3.0,3.0,3.0,3.0,3.0,2.9,3.1,3.1,3.0,3.0,3.0,3.1,3.0,3.3,3.8
11260,"Anchorage, AK",Alaska,3200886.2896708366,2089.2834018757994,0.0,20806480.126424484,8332.63275054191,0.0,0.0,34265.08132214104,0.0,0.0,106635.31706099903,0.0,82.87418512227462,0.0,54.95968470016733,154193.14918631688,37689.08294322644,4837.557691660301,6596.122236390313,0.000997081356158,81576922.3,12405.479110176237,0.0,0.0,1138.9896234381704,0.0,0.0,885405.20065733,0.0,160.5791411283705,0.0,5751.848937892668,2185518.3662796947,112.87032432022782,116000000.0,3950999435.1012855,0.0,4620604800000.0,4616626000000.0,0.0,0.0,4616626000000.0,0.0,0.0,36142313379.64714,4616626000000.0,4616626000000.0,0.0,938132838.9368348,840846454603.1758,4616626000000.0,93414728170.0,397985.0,20047.0,27239.0,-7192.0,47286.0,1608.9366053390668,1910.8898450721847,2560.951971435622,2433.2412539655825,"Anchorage, AK",11260.0,2.8,3.0,3.4,3.3,3.4,3.2,3.3,2.8,2.9,2.4,2.3,2.4,2.4,2.4,2.5,2.5,2.6,2.6,2.7,2.7,2.8,3.0,3.2,3.4,3.7,4.1,4.3,4.3,4.0,3.6,3.7,3.8,3.8,3.9,3.7,3.7,4.0,4.0,4.0,4.0,4.1,4.4,4.6
11460,"Ann Arbor, MI",Michigan,0.0,0.0,332892.45818859123,97801.8794268358,15950.446962919732,972113.9199252126,1572.1476277467505,8275.07919117921,25094.52037291156,581407.7987698815,465811.4515232492,1136080.4944318864,7700027.364386966,0.0,0.0,7741.099017133555,5101.488947222593,0.0,0.0,2698.32762682322,389295.9,1453.360369390203,12001.885461550908,176983.28274291035,198810.03178871595,126370.88042626069,138721.9477645782,69650.85164615577,6127831.906879899,10845706.974342592,0.0,0.0,101818.27143450432,104522.53685337464,0.0,0.0,4315941518511.824,4318192800000.0,4315942400000.0,4315941518511.824,4310973881575.32,4315921045831.7705,558821403784.8273,4315942400000.0,42176867851.11861,4315942400000.0,4315942400000.0,0.0,0.0,1280939875923.3342,4315941518511.824,79619819577.0,372064.0,34333.0,29052.0,5281.0,63385.0,1726.7724227587144,1688.9037864840022,2460.7551686423417,2369.164620704944,"Ann Arbor, MI",11460.0,3.4,3.5,3.1,2.8,2.6,2.5,2.6,2.7,2.9,3.1,3.2,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.6,3.7,3.9,4.2,4.3,4.4,4.5,4.3,3.9,3.6,3.5,3.4,3.3,3.3,3.4,3.7,3.6,3.7,3.7,3.8,3.9,4.0,4.5,5.0
11500,"Anniston-Oxford-Jacksonville, AL",Alabama,0.0,0.0,0.0,201827.60425006595,4997.992585180536,870456.3661139563,15929.494828131648,15705.656824414751,20426.964712124176,189469.76452610016,738777.6624883437,655540.3895922567,9605564.171994591,0.0,0.0,920.5537588610428,24267.488183683206,0.0,0.0,0.0,925206.6,169554.5808614872,3820.928135835847,978211.46404696,2452.0762443454178,131355.4211720811,76142.92946439776,68827.60576697996,149219.43612300896,6648568.290725148,0.0,0.0,8037.86150309091,5417.072215626761,0.0,0.0,0.0,1350715600000.0,1348500000000.0,1348500000000.0,1344773100080.122,1343472124315.4817,695170318252.657,1348500000000.0,63078677702.5538,1348500000000.0,1348500000000.0,0.0,0.0,63763912415.819954,1348500000000.0,22691498699.0,116250.0,5713.0,5913.0,-200.0,11626.0,811.2817019999897,813.6977325764157,1169.1980157355724,1127.9024780538432,"Anniston-Oxford-Jacksonville, AL",11500.0,3.0,2.8,2.7,2.6,2.6,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.4,2.4,2.4,2.4,2.5,2.5,2.5,2.5,2.5,2.7,2.8,2.9,2.9,3.0,3.1,3.1,3.2,3.2,3.1,2.9,3.0,2.9,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.4,4.2
11540,"Appleton, WI",Wisconsin,0.0,0.0,1545816.3899748574,11986.633099083449,74410.50368785547,1404473.10644094,135.59253625180833,1979.573472945015,34800.00000000237,340224.1622656386,181821.59236570215,483585.31724523066,5426931.751059919,0.0,0.0,3491.065606162428,248721.9046506392,0.0,0.0,536.7303505807458,60572.0,2668425.826090371,2348.0329380496937,38376.43145811175,54105.36873898743,8999.999999999989,26230.47221978969,69567.57489387167,2283978.0045958995,4667564.005835808,0.0,0.0,51411.34592833572,31887.70135147756,0.0,0.0,2819716400000.0,2820505200000.0,2819716400000.0,2819716400000.0,2819716400000.0,2815809273679.116,286141538774.35504,2819716400000.0,28489461804.45116,2819716400000.0,2819716400000.0,0.0,0.0,188723268091.84296,2819716400000.0,60889261041.0,243079.0,10395.0,14484.0,-4089.0,24879.0,949.5488402394056,1163.4457443301771,1500.0,1503.9404908439694,"Appleton, WI",11540.0,2.4,2.2,2.0,2.1,2.0,1.9,1.9,1.8,1.8,1.8,1.8,1.8,1.8,1.9,1.9,1.9,1.9,1.9,1.9,1.9,2.0,2.0,2.2,2.2,2.3,2.4,2.4,2.4,2.3,2.1,2.1,2.0,2.1,2.4,2.4,2.3,2.4,2.5,2.6,2.7,2.8,3.2,3.5
11640,"Arecibo, PR",Puerto Rico,0.0,622.3958650519955,0.0,15755616.535427423,2656.2435808223063,0.0,3523497.879748353,0.0,69599.9999999982,0.0,350393.66347296705,430.43368202018166,48012.95302903614,523.246104952608,0.0,0.0,0.0,0.0,518658.41925779096,0.0,19461386.6,283.0565280584727,0.0,95744914.71996628,0.0,17999.99999999999,0.0,23881421.60842461,17.685133583885932,41165.55576615788,2917.280957929937,0.0,0.0,0.0,0.0,12471108784.959633,0.0,2119378000000.0,2115271600000.0,0.0,2115093810232.316,0.0,216379252017.6931,0.0,55766724335.00911,2115271600000.0,2115271600000.0,123209077225.35625,0.0,0.0,0.0,23125637635.0,182351.0,2466.0,6763.0,-4297.0,9229.0,475.7278633840991,1226.836582434678,1325.364100917178,1305.4072161590038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11700,"Asheville, NC",North Carolina,0.0,0.0,2027792.847771318,289160.5122970714,149958.92989893287,0.0,28772.758318291508,59107.20798150534,315350.95451131614,1590330.248911228,2491608.9733442185,2480404.1534969728,3488026.053589669,0.0,0.0,26658.471831390387,468089.14205637056,0.0,0.0,5507.362059489196,2574130.5,787482.5411323463,0.0,1614096.8427174247,1021453.3963682902,1329882.4917737967,100547.3573057516,12031894.559483849,963642.8435504764,4674329.623598536,0.0,0.0,283418.01919785875,42145.557731501816,0.0,0.0,5434970791739.855,5440574000000.0,5434971200000.0,0.0,5431574837047.208,5434190432609.888,3623259941501.394,5434971200000.0,145832949544.48926,5434971200000.0,5434971200000.0,0.0,0.0,133285966269.60916,5434970791739.855,85940310212.0,468532.0,22515.0,19866.0,2649.0,42381.0,1751.45568028426,2058.660001068656,2741.885847368558,2662.661826068042,"Asheville, NC",11700.0,3.4,3.4,3.3,3.1,3.1,3.1,3.2,3.1,3.1,3.0,3.0,3.0,3.0,3.0,3.1,3.1,3.1,3.3,3.4,3.5,3.6,3.8,4.1,4.2,4.4,4.6,4.9,5.1,5.1,5.0,4.8,4.5,4.3,4.2,4.3,4.3,4.5,4.6,4.7,4.6,4.7,5.3,6.5
12020,"Athens-Clarke County, GA",Georgia,0.0,0.0,0.0,466225.2530053784,67368.71551734615,395253.3009784707,44178.25041361263,31520.33672844534,69600.00000000253,695042.656121664,95163.60203807222,427367.0916481008,2879842.1444954267,0.0,0.0,269.4859138229846,261783.02606501617,0.0,0.0,0.0,1822526.6,1448333.0413074775,2530.366387598015,2047955.1607633769,626145.7033168571,118500.00000000036,77686.22348740889,20421.49371075303,308416.46575403016,3759604.550960576,0.0,0.0,34732.95779454389,13687.737177798384,0.0,0.0,0.0,2498814000000.0,2495821200000.0,2495821200000.0,2495607388648.473,2495716379581.2485,729518792897.4912,2495821200000.0,22851230376.216038,2495821200000.0,2495821200000.0,0.0,0.0,421504107476.8046,2495821200000.0,36330797399.0,215157.0,23508.0,14013.0,9495.0,37521.0,1778.0433065592076,1395.4522564387505,2290.789820127547,2229.512502768262,"Athens-Clarke County, GA",12020.0,3.9,4.1,4.1,4.0,3.9,3.8,3.7,3.5,3.5,3.4,3.4,3.5,3.5,3.4,3.4,3.4,3.5,3.5,3.5,3.5,3.7,4.0,4.3,4.5,4.8,4.9,4.9,4.8,4.8,4.7,4.4,4.1,4.1,4.1,4.2,4.3,4.3,4.1,4.1,4.1,4.3,4.5,5.4
